table_id,page_number,rows,columns
1,10,2,1
2,36,2,1
3,36,2,22
4,37,3,2
5,38,2,1
6,38,2,1
7,41,2,1
8,41,1,2
9,49,2,1
10,54,2,3
11,57,2,2
12,58,2,1
13,59,2,1
14,75,2,1
15,77,2,1
16,79,2,1
17,80,2,1
18,80,2,1
19,81,2,1
20,82,2,1
21,83,2,1
22,83,2,1
23,84,2,1
24,85,2,1
25,87,2,1
26,100,2,2
27,100,3,2
28,100,2,3
29,100,4,3
30,100,2,3
31,100,2,5
32,100,1,4
33,100,3,2
34,101,4,9
35,102,4,13
36,110,2,1
37,111,2,1
38,111,2,1
39,111,2,1
40,124,2,2
41,124,1,2
42,126,2,1
43,126,1,2
44,126,2,2
45,126,2,3
46,126,2,1
47,126,2,1
48,126,2,1
49,132,2,2
50,174,2,1
51,177,2,2
52,177,1,5
53,181,10,2
54,183,2,1
55,184,2,2
56,188,2,1
57,194,2,2
58,196,2,2
59,196,11,4
60,196,11,4
61,197,2,2
62,198,2,2
63,201,2,2
64,202,2,2
65,203,2,2
66,204,2,2
67,207,11,13
68,210,2,2
69,211,2,1
70,211,2,1
71,211,2,1
72,213,2,3
73,213,2,3
74,215,2,2
75,215,1,3
76,215,2,2
77,215,1,6
78,216,2,1
79,216,2,2
80,217,2,1
81,217,1,2
82,217,2,2
83,218,2,2
84,218,1,3
85,218,1,5
86,218,2,2
87,229,2,2
88,229,4,1
89,230,2,1
90,230,2,2
91,231,2,2
92,232,2,2
93,232,2,2
94,233,3,1
95,239,2,2
96,241,2,2
97,241,1,14
98,241,4,1
99,244,2,2
100,250,3,4
101,252,23,3
102,254,3,1
103,255,3,3
104,256,3,3
105,256,3,3
106,261,2,2
107,277,2,3
108,281,2,2
109,284,2,2
110,287,2,2
111,296,2,1
112,302,2,2
113,303,2,2
114,304,2,2
115,312,2,3
116,313,2,3
117,313,1,3
118,320,2,2
119,322,2,2
120,322,2,1
121,328,2,1
122,329,2,3
123,330,2,3
124,331,3,3
125,332,2,1
126,332,1,2
127,338,2,2
128,350,2,3
129,353,2,2
130,353,1,2
131,359,6,1
132,365,3,1
133,391,2,3
134,398,2,1
135,401,2,2
136,401,2,2
137,411,2,3
138,411,19,7
139,411,1,4
140,418,2,2
141,428,2,2
142,428,3,1
